episodes,overall_win_rate,landlord_win_rate,farmer_win_rate,games,checkpoint,result_json
2000,0.37033333333333335,0.08,0.5155,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/2000.pkl,evaluate_results/ac_full_30k_2k_vs_native_rlcard_rotate_1000.json
4000,0.44133333333333336,0.45,0.437,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/4000.pkl,evaluate_results/ac_full_30k_4k_vs_native_rlcard_rotate_1000.json
6000,0.36966666666666664,0.239,0.435,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/6000.pkl,evaluate_results/ac_full_30k_6k_vs_native_rlcard_rotate_1000.json
8000,0.4653333333333333,0.503,0.4465,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/8000.pkl,evaluate_results/ac_full_30k_8k_vs_native_rlcard_rotate_1000.json
10000,0.4663333333333333,0.516,0.4415,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/10000.pkl,evaluate_results/ac_full_30k_10k_vs_native_rlcard_rotate_1000.json
12000,0.509,0.551,0.488,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/12000.pkl,evaluate_results/ac_full_30k_12k_vs_native_rlcard_rotate_1000.json
14000,0.535,0.569,0.518,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/14000.pkl,evaluate_results/ac_full_30k_14k_vs_native_rlcard_rotate_1000.json
16000,0.548,0.579,0.5325,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/16000.pkl,evaluate_results/ac_full_30k_16k_vs_native_rlcard_rotate_1000.json
18000,0.546,0.571,0.5335,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/18000.pkl,evaluate_results/ac_full_30k_18k_vs_native_rlcard_rotate_1000.json
20000,0.5566666666666666,0.583,0.5435,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/20000.pkl,evaluate_results/ac_full_30k_20k_vs_native_rlcard_rotate_1000.json
22000,0.5656666666666667,0.613,0.542,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/22000.pkl,evaluate_results/ac_full_30k_22k_vs_native_rlcard_rotate_1000.json
24000,0.5673333333333334,0.615,0.5435,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/24000.pkl,evaluate_results/ac_full_30k_24k_vs_native_rlcard_rotate_1000.json
26000,0.5606666666666666,0.579,0.5515,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/26000.pkl,evaluate_results/ac_full_30k_26k_vs_native_rlcard_rotate_1000.json
28000,0.555,0.572,0.5465,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/28000.pkl,evaluate_results/ac_full_30k_28k_vs_native_rlcard_rotate_1000.json
30000,0.5796666666666667,0.632,0.5535,3000,actor_critic_checkpoints/actor_critic/ac_full_30k/30000.pkl,evaluate_results/ac_full_30k_30k_vs_native_rlcard_rotate_1000.json
