series,episode,win_rate
douzero,75040.0,0.477
douzero,150080.0,0.471
douzero,225040.0,0.507
douzero,300000.0,0.532
douzero,375040.0,0.509
douzero,450160.0,0.519
douzero,525040.0,0.52
douzero,600000.0,0.519
douzero,675040.0,0.546
douzero,750000.0,0.561
douzero,825040.0,0.56
douzero,900160.0,0.588
douzero,975040.0,0.569
douzero,1050000.0,0.587
douzero,1125120.0,0.595
douzero,1200000.0,0.573
douzero,1275040.0,0.58
douzero,1350080.0,0.59
douzero,1425040.0,0.601
douzero,1500000.0,0.609
douzero,1500880.0,0.594
rlcard_baseline,50016,0.557
rlcard_baseline,1500880.0,0.557
td_1m_gamma,50016,0.36
td_1m_gamma,100000,0.315
td_1m_gamma,150016,0.41
td_1m_gamma,200000,0.397
td_1m_gamma,250016,0.38
td_1m_gamma,300000,0.423
td_1m_gamma,350016,0.412
td_1m_gamma,400000,0.469
td_1m_gamma,450016,0.412
td_1m_gamma,500000,0.405
td_1m_gamma,550016,0.385
td_1m_gamma,600000,0.46
td_1m_gamma,650016,0.327
td_1m_gamma,700000,0.371
td_1m_gamma,750016,0.355
td_1m_gamma,800000,0.346
td_1m_gamma,850016,0.349
td_1m_gamma,900000,0.325
td_1m_gamma,950016,0.38
td_1m_gamma,1000000,0.411
