side,rank,position,feature_index,feature,rank_metric,rank_value,windows,final_weight,mean_abs_weight,weight_std,impact_score,instability_score,total_abs_delta_w,relative_jitter,direction_changes_per_window,sign_flips
weight,1,landlord_up,28,action_finish,mean_abs_weight,1.0059649139642715,20,0.9149883985519409,1.0059649139642715,0.05858789382069788,0.06447545199068362,0.5367618246516523,36.70295821144761,0.9745464970720289,0.5789473684210527,0
weight,2,landlord,48,singles_delta,mean_abs_weight,0.9905849233269691,20,1.3584688901901245,0.9905849233269691,0.3107903251412427,0.10497325647338716,0.42860647858279954,31.669383769462943,0.9568672003638099,0.0,0
weight,3,landlord,17,hand_singles,mean_abs_weight,0.9589999929070473,20,-1.2555694580078125,0.9589999929070473,0.2189539938298092,0.688304018610105,0.525884252070174,181.39669701589807,0.9930740772207948,0.47368421052631576,43
weight,4,landlord_down,28,action_finish,mean_abs_weight,0.8154116064310074,20,0.7472416162490845,0.8154116064310074,0.09399090717123774,0.07452047611788006,0.6157190342260259,67.66837127330774,0.9889510113528351,0.7894736842105263,0
weight,5,landlord,28,action_finish,mean_abs_weight,0.7486882984638215,20,0.800934374332428,0.7486882984638215,0.09106079972343854,0.13992221854978976,0.5816166801442215,107.65996645612577,0.9925663395645621,0.7368421052631579,0
weight,6,landlord,47,badness_delta,mean_abs_weight,0.674617475271225,20,0.9233283996582031,0.674617475271225,0.2053342011528306,0.07871855049702212,0.36997314072223464,31.461876268714942,0.9706131267856827,0.0,0
weight,7,landlord,22,hand_badness,mean_abs_weight,0.6612853467464447,20,-0.9028911590576172,0.6612853467464447,0.1687735063411282,0.5190101843964721,0.38203688034099365,183.36908156363754,0.9950761194579243,0.0,13
weight,8,landlord_down,54,teammate_danger_pass,mean_abs_weight,0.6430456578731537,20,0.6536818742752075,0.6430456578731537,0.0815492948262888,0.0890007159366339,0.47858908424595764,58.04046326214061,0.9887285454362258,0.5263157894736842,0
jitter,1,landlord,228,played_control_cards,instability_score,0.6934520286319128,20,0.020687391981482506,0.0201769890030846,0.020327780433611435,0.42472736554061186,0.6934520286319128,1040.6084270354947,0.9999801109580149,0.8421052631578947,13864
jitter,2,landlord_up,228,played_control_cards,instability_score,0.6488199984285226,20,-0.05503876879811287,0.02668863630387932,0.021021096393674648,0.46946998122763217,0.6488199984285226,999.9382723565542,0.9999449409772234,0.7894736842105263,10957
jitter,3,landlord,239,played_group_control_a_2_joker,instability_score,0.6428181802918574,20,0.01241261325776577,0.012106247700285167,0.012196689461136053,0.2539304101512954,0.6428181802918574,624.3650612440883,0.9999801109175724,0.8421052631578947,13864
jitter,4,landlord_down,228,played_control_cards,instability_score,0.6236454041312858,20,-0.03493741527199745,0.01774815813987516,0.017543964960079084,0.4440078397960728,0.6236454041312858,1040.6783739446337,0.9999664187087307,0.5789473684210527,13173
jitter,5,landlord,275,played_mid_cards_ratio,instability_score,0.620196637078402,20,-0.0103573864325881,0.01199263494927436,0.01366512094307518,0.25960407482149955,0.620196637078402,628.6396777303057,0.9999835213854137,0.6842105263157895,14951
jitter,6,landlord,236,played_group_mid_8_to_k,instability_score,0.620196637078402,20,-0.0103573864325881,0.01199263494927436,0.01366512094307518,0.25960407482149955,0.620196637078402,628.6396777303057,0.9999835213854137,0.6842105263157895,14951
jitter,7,landlord_down,28,action_finish,instability_score,0.6157190342260259,20,0.7472416162490845,0.8154116064310074,0.09399090717123774,0.07452047611788006,0.6157190342260259,67.66837127330774,0.9889510113528351,0.7894736842105263,0
jitter,8,landlord,276,played_high_cards_ratio,instability_score,0.6142322481148708,20,0.02756434492766857,0.016955455037532374,0.013263092281563702,0.2609833090469175,0.6142322481148708,626.2141015530123,0.9999559613012265,0.8421052631578947,10886
